,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,42,39,No,Travel_Rarely,1132,Research & Development,1,Bachelor,Medical,High,Male,48,Very High,3,Healthcare Representative,Very High,Divorced,9613,10942,0,No,17,Excellent,Low,3,19,5,Good,18,10,3,7
42,43,35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Low,Male,84,Very High,1,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Excellent,High,1,6,5,Excellent,5,4,0,3
43,44,32,No,Travel_Frequently,379,Sales,5,College,Life Sciences,Medium,Male,48,High,2,Sales Executive,Medium,Married,6524,8891,1,No,14,Excellent,Very High,1,10,3,Excellent,10,8,5,3
44,45,26,Yes,Travel_Rarely,1330,Research & Development,21,Bachelor,Medical,Low,Male,37,High,1,Laboratory Technician,High,Divorced,2377,19373,1,No,20,Outstanding,High,1,1,0,Good,1,1,0,0
45,46,30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,High,Male,99,Medium,2,Healthcare Representative,Very High,Married,4152,15830,1,No,19,Excellent,Low,3,11,3,Excellent,11,10,10,8
48,49,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Very High,Male,44,Medium,3,Manufacturing Director,High,Single,9526,8787,0,No,21,Outstanding,Medium,0,10,2,Excellent,9,7,1,8
49,50,21,No,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,High,Male,49,High,1,Sales Representative,High,Single,3447,24444,1,No,11,Excellent,High,0,3,2,Excellent,3,2,1,2
50,51,35,No,Travel_Rarely,950,Research & Development,7,Bachelor,Other,High,Male,59,High,3,Manufacturing Director,High,Single,10221,18869,3,No,21,Outstanding,Medium,0,17,3,Outstanding,8,5,1,6
53,54,26,No,Travel_Frequently,1479,Research & Development,1,Bachelor,Life Sciences,High,Female,84,High,2,Manufacturing Director,Medium,Divorced,6397,26767,1,No,20,Outstanding,Low,1,6,6,Low,6,5,1,4
54,55,31,Yes,Travel_Frequently,523,Research & Development,2,Bachelor,Life Sciences,Medium,Male,94,High,1,Laboratory Technician,Very High,Married,3722,21081,6,Yes,13,Excellent,High,1,7,2,Low,2,2,2,2
56,57,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,High,Female,75,High,1,Laboratory Technician,Medium,Married,2370,3956,1,No,13,Excellent,High,1,8,4,Excellent,8,0,0,7
57,58,32,No,Travel_Rarely,929,Sales,10,Bachelor,Marketing,Very High,Male,55,High,2,Sales Executive,Very High,Single,5396,21703,1,No,12,Excellent,Very High,0,10,2,Good,10,7,0,8
58,59,34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,Very High,Male,62,Medium,1,Research Scientist,High,Divorced,2768,8416,3,No,12,Excellent,High,1,14,3,Excellent,7,3,5,7
59,60,33,No,Travel_Frequently,553,Research & Development,5,Master,Life Sciences,Very High,Female,74,High,3,Manager,Medium,Married,11878,23364,6,No,11,Excellent,Medium,2,12,2,Excellent,10,6,8,8
60,61,47,No,Travel_Rarely,983,Research & Development,2,College,Medical,Low,Female,65,High,2,Manufacturing Director,Very High,Divorced,5070,7389,5,No,13,Excellent,High,3,20,2,Excellent,5,0,0,4
62,63,30,No,Travel_Rarely,921,Research & Development,1,Bachelor,Life Sciences,Very High,Male,38,Low,1,Laboratory Technician,High,Married,3833,24375,3,No,21,Outstanding,High,2,7,2,Excellent,2,2,0,2
63,64,58,No,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,Medium,Female,75,Medium,1,Research Scientist,Medium,Married,3346,11873,4,Yes,20,Outstanding,Medium,1,9,3,Good,1,0,0,0
64,65,37,Yes,Travel_Rarely,625,Sales,1,Master,Life Sciences,Low,Male,46,Medium,3,Sales Executive,High,Married,10609,14922,5,No,11,Excellent,High,0,17,2,Low,14,1,11,7
67,68,38,No,Travel_Rarely,1380,Research & Development,9,College,Life Sciences,High,Female,75,High,1,Laboratory Technician,Very High,Single,2288,6319,1,No,12,Excellent,High,0,2,3,Excellent,2,2,2,1
68,69,43,Yes,Travel_Rarely,1372,Sales,9,Bachelor,Marketing,Low,Female,85,Low,2,Sales Executive,High,Single,5346,9489,8,No,13,Excellent,Medium,0,7,2,Good,4,3,1,3
70,71,52,No,Travel_Frequently,322,Research & Development,28,College,Medical,Very High,Female,59,Very High,4,Manufacturing Director,High,Married,13247,9731,2,Yes,11,Excellent,Medium,1,24,3,Good,5,3,0,2
72,73,44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Medium,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Outstanding,High,1,9,2,Good,4,3,1,3
73,74,59,No,Travel_Rarely,142,Research & Development,3,Bachelor,Life Sciences,High,Male,70,Medium,1,Research Scientist,Very High,Married,2177,8456,3,No,17,Excellent,Low,1,7,6,Excellent,1,0,0,0
76,77,42,No,Non-Travel,926,Research & Development,21,College,Medical,High,Female,36,High,2,Manufacturing Director,High,Divorced,5265,16439,2,No,16,Excellent,Medium,1,11,5,Excellent,5,3,0,2
77,78,45,No,Travel_Rarely,561,Sales,2,Bachelor,Other,Very High,Male,61,High,2,Sales Executive,Medium,Married,4805,16177,0,No,19,Excellent,Medium,1,9,3,Outstanding,8,7,3,7
80,81,21,Yes,Travel_Rarely,1427,Research & Development,18,Below College,Other,Very High,Female,65,High,1,Research Scientist,Very High,Single,2693,8870,1,No,19,Excellent,Low,0,1,3,Good,1,0,0,0
81,82,23,No,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,Low,Male,58,Very High,1,Research Scientist,Low,Married,2819,8544,2,No,16,Excellent,Low,1,5,3,Outstanding,3,2,0,2
83,84,54,No,Travel_Rarely,1147,Sales,3,Bachelor,Marketing,Very High,Female,52,High,2,Sales Executive,Low,Married,5940,17011,2,No,14,Excellent,Very High,1,16,4,Excellent,6,2,0,5
84,85,41,No,Travel_Rarely,509,Research & Development,7,College,Technical Degree,Medium,Female,43,Very High,1,Research Scientist,High,Married,3376,18863,1,No,13,Excellent,High,0,10,3,Excellent,10,6,0,8
85,86,45,No,Travel_Rarely,1038,Research & Development,20,Bachelor,Medical,Medium,Male,95,Low,3,Healthcare Representative,Low,Divorced,10851,19863,2,Yes,18,Excellent,Medium,1,24,2,Excellent,7,7,0,7
87,88,45,No,Non-Travel,1052,Sales,6,Bachelor,Medical,Very High,Female,57,Medium,3,Sales Executive,Very High,Single,8865,16840,6,No,12,Excellent,Very High,0,23,2,Excellent,19,7,12,8
92,93,55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,Low,Male,70,High,3,Sales Executive,Very High,Married,10239,18092,3,No,14,Excellent,Very High,1,24,4,Excellent,1,0,1,0
94,95,34,No,Travel_Frequently,1069,Research & Development,2,Below College,Life Sciences,Very High,Male,45,Medium,2,Manufacturing Director,High,Married,9547,14074,1,No,17,Excellent,High,0,10,2,Good,10,9,1,9
96,97,57,No,Travel_Rarely,405,Research & Development,1,College,Life Sciences,Medium,Male,93,Very High,2,Research Scientist,High,Married,4900,2721,0,No,24,Outstanding,Low,1,13,2,Good,12,9,2,8
98,99,33,No,Travel_Rarely,147,Research & Development,4,Master,Medical,High,Female,47,Medium,1,Research Scientist,Medium,Married,2622,13248,6,No,21,Outstanding,Very High,0,7,3,Excellent,3,2,1,1
99,100,32,No,Non-Travel,300,Research & Development,1,Bachelor,Life Sciences,Very High,Male,61,High,1,Laboratory Technician,Very High,Divorced,2314,9148,0,No,12,Excellent,Medium,1,4,2,Excellent,3,0,0,2
100,101,21,Yes,Travel_Frequently,251,Research & Development,10,College,Life Sciences,Low,Female,45,Medium,1,Laboratory Technician,High,Single,2625,25308,1,No,20,Outstanding,High,0,2,2,Low,2,2,2,2
101,102,34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,Very High,Female,33,Low,1,Sales Representative,High,Divorced,2351,12253,0,No,16,Excellent,Very High,1,3,3,Good,2,2,1,0
103,104,27,No,Travel_Frequently,1242,Sales,20,Bachelor,Life Sciences,Very High,Female,90,High,2,Sales Executive,High,Single,9981,12916,1,No,14,Excellent,Very High,0,7,2,Excellent,7,7,0,7
105,106,36,No,Travel_Rarely,917,Research & Development,6,Master,Life Sciences,High,Male,60,Low,1,Laboratory Technician,High,Divorced,2741,6865,1,No,14,Excellent,High,1,7,4,Excellent,7,7,1,7
106,107,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,Medium,Female,49,High,5,Research Director,High,Married,19545,16280,1,No,12,Excellent,Very High,0,23,0,Excellent,22,15,15,8
108,109,33,No,Travel_Frequently,1296,Research & Development,6,Bachelor,Life Sciences,High,Male,30,High,2,Healthcare Representative,Very High,Divorced,7725,5335,3,No,23,Outstanding,High,1,15,2,Low,13,11,4,7
109,110,18,Yes,Non-Travel,247,Research & Development,8,Below College,Medical,High,Male,80,High,1,Laboratory Technician,High,Single,1904,13556,1,No,12,Excellent,Very High,0,0,0,Excellent,0,0,0,0
110,111,27,No,Travel_Rarely,894,Research & Development,9,Bachelor,Medical,Very High,Female,99,High,1,Research Scientist,Medium,Single,2279,11781,1,No,16,Excellent,Very High,0,7,2,Good,7,7,0,3
111,112,22,No,Travel_Rarely,1230,Research & Development,1,College,Life Sciences,Very High,Male,33,Medium,2,Manufacturing Director,Very High,Married,4775,19146,6,No,22,Outstanding,Low,2,4,2,Low,2,2,2,2
112,113,33,Yes,Travel_Rarely,813,Research & Development,14,Bachelor,Medical,High,Male,58,High,1,Laboratory Technician,Very High,Married,2436,22149,5,Yes,13,Excellent,High,1,8,2,Low,5,4,0,4
113,114,42,No,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,Very High,Female,88,Medium,2,Healthcare Representative,Very High,Married,4523,4386,0,No,11,Excellent,Very High,3,7,4,Outstanding,6,5,0,4
114,115,29,No,Travel_Frequently,806,Research & Development,1,Master,Life Sciences,Medium,Male,76,Low,1,Research Scientist,Very High,Divorced,2720,18959,1,No,18,Excellent,Very High,1,10,5,Excellent,10,7,2,8
116,117,35,No,Travel_Rarely,817,Research & Development,1,Bachelor,Medical,Very High,Female,60,Medium,2,Laboratory Technician,Very High,Married,5363,10846,0,No,12,Excellent,Medium,1,10,0,Excellent,9,7,0,0
118,119,37,No,Non-Travel,142,Sales,9,Master,Medical,Low,Male,69,High,3,Sales Executive,Medium,Divorced,8834,24666,1,No,13,Excellent,Very High,1,9,6,Excellent,9,5,7,7
120,121,52,Yes,Travel_Rarely,266,Sales,2,Below College,Marketing,Low,Female,57,Low,5,Manager,Very High,Married,19845,25846,1,No,15,Excellent,Very High,1,33,3,Excellent,32,14,6,9
121,122,31,No,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,Medium,Male,100,Very High,2,Sales Executive,Very High,Married,6929,12241,4,No,11,Excellent,Medium,1,10,3,Good,8,7,7,7
122,123,29,No,Travel_Rarely,1396,Sales,10,Bachelor,Life Sciences,High,Male,99,High,1,Sales Representative,High,Single,2642,2755,1,No,11,Excellent,High,0,1,6,Excellent,1,0,0,0
125,126,32,Yes,Non-Travel,1474,Sales,11,Master,Other,Very High,Male,60,Very High,2,Sales Executive,High,Married,4707,23914,8,No,12,Excellent,Very High,0,6,2,Excellent,4,2,1,2
126,127,35,No,Non-Travel,1097,Research & Development,11,College,Medical,High,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,Excellent,High,1,10,3,Excellent,4,0,2,3
127,128,43,No,Travel_Rarely,920,Research & Development,3,Bachelor,Life Sciences,High,Male,96,Low,5,Research Director,Very High,Married,19740,18625,3,No,14,Excellent,Medium,1,25,2,Excellent,8,7,0,7
128,129,33,No,Travel_Rarely,134,Research & Development,2,Bachelor,Life Sciences,High,Male,90,High,1,Research Scientist,Very High,Single,2500,10515,0,No,14,Excellent,Low,0,4,2,Outstanding,3,1,0,2
132,133,37,No,Travel_Rarely,309,Sales,10,Master,Life Sciences,Very High,Female,88,Medium,2,Sales Executive,Very High,Divorced,6694,24223,2,Yes,14,Excellent,High,3,8,5,Excellent,1,0,0,0
133,134,27,Yes,Travel_Rarely,135,Research & Development,17,Master,Life Sciences,Very High,Female,51,High,1,Research Scientist,High,Single,2394,25681,1,Yes,13,Excellent,Very High,0,8,2,Excellent,8,2,7,7
134,135,28,No,Travel_Rarely,1451,Research & Development,2,Below College,Life Sciences,Low,Male,67,Medium,1,Research Scientist,Medium,Married,3201,19911,0,No,17,Excellent,Low,0,6,2,Low,5,3,0,4
135,136,27,No,Travel_Frequently,294,Research & Development,10,College,Life Sciences,Very High,Male,32,High,3,Manufacturing Director,Low,Divorced,8793,4809,1,No,21,Outstanding,High,2,9,4,Good,9,7,1,7
136,137,37,No,Travel_Rarely,342,Sales,16,Master,Marketing,Very High,Male,66,Medium,2,Sales Executive,High,Divorced,6334,24558,4,No,19,Excellent,Very High,2,9,2,Excellent,1,0,0,0
137,138,27,No,Travel_Rarely,199,Research & Development,6,Bachelor,Life Sciences,Very High,Male,55,Medium,1,Research Scientist,High,Married,2539,7950,1,No,13,Excellent,High,1,4,0,Excellent,4,2,2,2
138,139,37,No,Travel_Frequently,319,Sales,4,Master,Marketing,Low,Male,41,High,1,Sales Representative,Very High,Divorced,2793,2539,4,No,17,Excellent,High,1,13,2,Excellent,9,8,5,8
139,140,31,No,Travel_Rarely,1062,Research & Development,24,Bachelor,Medical,High,Female,96,Medium,2,Healthcare Representative,Low,Single,6812,17198,1,No,19,Excellent,Medium,0,10,2,Excellent,10,9,1,8
140,141,48,No,Travel_Rarely,715,Research & Development,1,Bachelor,Life Sciences,Very High,Male,76,Medium,5,Research Director,Very High,Single,18265,8733,6,No,12,Excellent,High,0,25,3,Outstanding,1,0,0,0
141,142,36,No,Travel_Rarely,676,Research & Development,1,Bachelor,Other,High,Female,35,High,2,Manufacturing Director,Medium,Married,5228,23361,0,No,15,Excellent,Low,1,10,2,Excellent,9,7,0,5
142,143,37,No,Travel_Rarely,977,Research & Development,1,Bachelor,Life Sciences,Very High,Female,56,Medium,2,Manufacturing Director,Very High,Married,6474,9961,1,No,13,Excellent,Medium,1,14,2,Good,14,8,3,11
145,146,38,No,Travel_Rarely,702,Sales,1,Master,Life Sciences,Low,Female,59,Medium,2,Sales Executive,Very High,Single,8686,12930,4,No,22,Outstanding,High,0,12,2,Outstanding,8,3,0,7
146,147,32,No,Travel_Rarely,117,Sales,13,Master,Life Sciences,Medium,Male,73,High,2,Sales Executive,Very High,Divorced,4403,9250,2,No,11,Excellent,High,1,8,3,Good,5,2,0,3
148,149,28,No,Travel_Rarely,857,Research & Development,10,Bachelor,Other,High,Female,59,High,2,Research Scientist,High,Single,3660,7909,3,No,13,Excellent,Very High,0,10,4,Outstanding,8,7,1,7
149,150,43,No,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,Medium,Female,72,Very High,1,Research Scientist,High,Single,4739,16090,4,No,12,Excellent,Very High,0,18,2,Excellent,3,2,1,2
151,152,30,No,Travel_Rarely,1465,Research & Development,1,Bachelor,Medical,Very High,Male,63,High,1,Research Scientist,Medium,Married,3579,9369,0,Yes,21,Outstanding,Low,1,12,2,Excellent,11,9,5,7
152,153,33,No,Non-Travel,722,Sales,17,Bachelor,Life Sciences,Very High,Male,38,High,4,Manager,High,Single,17444,20489,1,No,11,Excellent,Very High,0,10,2,Excellent,10,8,6,0
153,154,43,No,Travel_Rarely,177,Research & Development,8,Bachelor,Life Sciences,Low,Female,55,High,2,Manufacturing Director,Medium,Divorced,4765,23814,4,No,21,Outstanding,High,1,4,2,Outstanding,1,0,0,0
154,155,42,No,Travel_Frequently,458,Research & Development,26,Doctor,Medical,Low,Female,60,High,3,Research Director,Low,Married,13191,23281,3,Yes,17,Excellent,High,0,20,6,Excellent,1,0,0,0
155,156,37,No,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,High,Female,98,High,1,Laboratory Technician,Low,Married,3452,17663,6,No,20,Outstanding,Medium,1,17,3,Excellent,5,4,0,3
159,160,24,No,Travel_Frequently,535,Sales,24,Bachelor,Medical,Very High,Male,38,High,1,Sales Representative,Very High,Married,2400,5530,0,No,13,Excellent,High,2,3,3,Excellent,2,2,2,1
160,161,37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,Medium,Female,72,High,2,Research Scientist,High,Married,4449,23866,3,Yes,15,Excellent,Low,2,15,2,Excellent,13,11,10,7
161,162,37,No,Travel_Rarely,558,Sales,2,Bachelor,Marketing,Very High,Male,75,High,2,Sales Executive,High,Married,9602,3010,4,Yes,11,Excellent,High,1,17,3,Good,3,0,1,0
162,163,40,No,Travel_Frequently,1395,Research & Development,26,Bachelor,Medical,Medium,Female,54,High,2,Research Scientist,Medium,Divorced,5605,8504,1,No,11,Excellent,Low,1,20,2,Excellent,20,7,2,13
164,165,55,Yes,Travel_Rarely,436,Sales,2,Below College,Medical,High,Male,37,High,2,Sales Executive,Very High,Single,5160,21519,4,No,16,Excellent,High,0,12,3,Good,9,7,7,3
165,166,34,No,Travel_Rarely,507,Sales,15,College,Medical,High,Female,66,High,2,Sales Executive,Low,Single,6125,23553,1,No,12,Excellent,Very High,0,10,6,Outstanding,10,8,9,6
166,167,18,No,Travel_Rarely,812,Sales,10,Bachelor,Medical,Very High,Female,69,Medium,1,Sales Representative,High,Single,1200,9724,1,No,12,Excellent,Low,0,0,2,Excellent,0,0,0,0
167,168,41,No,Travel_Rarely,334,Sales,2,Master,Life Sciences,Very High,Male,88,High,4,Manager,Medium,Single,16015,15896,1,No,19,Excellent,Medium,0,22,2,Excellent,22,10,0,4
168,169,44,No,Travel_Frequently,383,Sales,1,Doctor,Marketing,Low,Female,79,High,2,Sales Executive,High,Married,4768,9282,7,No,12,Excellent,High,1,11,4,Good,1,0,0,0
169,170,42,No,Travel_Rarely,691,Sales,8,Master,Marketing,High,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0,No,11,Excellent,Very High,1,10,2,Excellent,9,7,4,2
170,171,51,No,Travel_Rarely,313,Research & Development,3,Bachelor,Medical,Very High,Female,98,High,4,Healthcare Representative,Medium,Single,13734,7192,3,No,18,Excellent,High,0,21,6,Excellent,7,7,1,0
171,172,32,Yes,Travel_Rarely,515,Research & Development,1,Bachelor,Life Sciences,Very High,Male,62,Medium,1,Laboratory Technician,High,Single,3730,9571,0,Yes,14,Excellent,Very High,0,4,2,Low,3,2,1,2
173,174,31,No,Travel_Rarely,688,Sales,7,Bachelor,Life Sciences,High,Male,44,Medium,3,Manager,Very High,Divorced,11557,25291,9,No,21,Outstanding,High,1,10,3,Good,5,4,0,1
174,175,31,No,Travel_Frequently,853,Research & Development,1,Below College,Life Sciences,High,Female,96,High,2,Manufacturing Director,Low,Married,4148,11275,1,No,12,Excellent,High,1,4,1,Excellent,4,3,0,3
175,176,30,Yes,Travel_Frequently,109,Research & Development,5,Bachelor,Medical,Medium,Female,60,High,1,Laboratory Technician,Medium,Single,2422,25725,0,No,17,Excellent,Low,0,4,3,Excellent,3,2,1,2
176,177,36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,Very High,Female,96,High,1,Research Scientist,High,Married,2543,11868,4,No,13,Excellent,Medium,1,6,3,Excellent,2,2,2,2
177,178,28,No,Travel_Rarely,895,Research & Development,15,College,Life Sciences,Low,Male,50,High,1,Laboratory Technician,High,Divorced,2207,22482,1,No,16,Excellent,Very High,1,4,5,Good,4,2,2,2
178,179,30,No,Travel_Rarely,1176,Research & Development,20,Bachelor,Other,High,Male,85,High,2,Manufacturing Director,Low,Married,9957,9096,0,No,15,Excellent,High,1,7,1,Good,6,2,0,2
179,180,35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Very High,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,No,13,Excellent,Low,0,2,3,Excellent,2,2,2,2
180,181,59,No,Travel_Rarely,1429,Research & Development,18,Master,Medical,Very High,Male,67,High,3,Manufacturing Director,Very High,Single,10512,20002,6,No,12,Excellent,Very High,0,25,6,Good,9,7,5,4
181,182,39,No,Non-Travel,1485,Research & Development,25,College,Life Sciences,High,Male,71,High,3,Healthcare Representative,High,Married,10920,3449,3,No,21,Outstanding,Medium,1,13,2,Excellent,6,4,0,5
183,184,29,No,Travel_Frequently,442,Sales,2,College,Life Sciences,Medium,Male,44,High,2,Sales Executive,Very High,Single,4554,20260,1,No,18,Excellent,Low,0,10,3,Good,10,7,0,9
